Time;Acceleration;Position
2025/04/27_15:11:34;{'x': 0.5770026000976562, 'y': 2.360682836914062, 'z': 9.373299499511718};(8.743266499999999, 48.075111899999996, 740305)
2025/04/27_15:11:35;{'x': 0.5315127685546874, 'y': 2.360682836914062, 'z': 9.476250170898437};(8.7432635, 48.075109499999996, 740229)
2025/04/27_15:11:36;{'x': 0.5722141967773438, 'y': 2.370259643554687, 'z': 9.481038574218749};(8.7432635, 48.075109499999996, 740229)
2025/04/27_15:12:22;{'x': 0.603338818359375, 'y': 2.4205378784179685, 'z': 9.373299499511718};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:12:53;{'x': 0.6057330200195312, 'y': 2.379836450195312, 'z': 9.457096557617186};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:12:54;{'x': 0.46686932373046874, 'y': 2.3535002319335936, 'z': 9.373299499511718};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:12:54;{'x': 0.7326257080078125, 'y': 2.4061726684570313, 'z': 9.485826977539062};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:13:01;{'x': 0.4955997436523437, 'y': 2.3487118286132813, 'z': 9.423577734375};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:13:24;{'x': 0.93852705078125, 'y': 1.9871873779296874, 'z': 9.251195214843749};(8.7431512, 48.075136199999996, 729925)
2025/04/27_15:14:35;{'x': 0.6560112548828124, 'y': 2.31758720703125, 'z': 9.473855969238281};(8.743100499999999, 48.075147199999996, 726029)
2025/04/27_15:14:36;{'x': 0.6584054565429687, 'y': 2.3391350219726563, 'z': 9.418789331054686};(8.743104599999999, 48.0751492, 725962)
2025/04/27_15:14:37;{'x': 0.6368576416015624, 'y': 2.3439234252929686, 'z': 9.519345800781249};(8.7430798, 48.0751565, 725792)
2025/04/27_15:14:38;{'x': 0.6200982299804687, 'y': 2.3391350219726563, 'z': 9.483432775878907};(8.7430759, 48.0751588, 725884)
2025/04/27_15:14:39;{'x': 0.6344634399414062, 'y': 2.3151930053710936, 'z': 9.464279162597656};(8.7430763, 48.0751601, 725947)
2025/04/27_15:21:04;{'x': 0.5051765502929687, 'y': 2.384624853515625, 'z': 9.464279162597656};(8.7430918, 48.0751601, 724674)
2025/04/27_15:21:05;{'x': 0.47644613037109373, 'y': 2.300827795410156, 'z': 9.457096557617186};(8.7430922, 48.0751614, 725066)
2025/04/27_15:21:06;{'x': 0.4955997436523437, 'y': 2.29843359375, 'z': 9.447519750976562};(8.7430922, 48.0751614, 725066)
2025/04/27_15:21:07;{'x': 0.5123591552734374, 'y': 2.3127988037109373, 'z': 9.5001921875};(8.743096999999999, 48.0751622, 725276)
