Time;Acceleration;Position
2025/04/27_15:40:48;{'x': 0.6584054565429687, 'y': 2.2266075439453124, 'z': 9.521740002441407};(0, 0, 0)
2025/04/27_15:40:49;{'x': 0.6943184814453125, 'y': 2.1499930908203124, 'z': 9.483432775878907};(0, 0, 0)
2025/04/27_15:40:50;{'x': 0.7206546997070312, 'y': 2.2098481323242187, 'z': 9.543287817382812};(8.7430857, 48.0750963, 727222)
2025/04/27_15:40:51;{'x': 0.6607996582031249, 'y': 2.212242333984375, 'z': 9.4618849609375};(8.7430857, 48.0750963, 727222)
2025/04/27_15:41:15;{'x': 0.7972691528320313, 'y': 2.094926452636719, 'z': 9.572018237304688};(8.7431258, 48.075130699999995, 722978)
2025/04/27_15:41:16;{'x': 0.7685387329101562, 'y': 2.133233679199219, 'z': 9.524134204101562};(8.7431018, 48.075126, 721824)
2025/04/27_15:41:17;{'x': 0.7709329345703124, 'y': 2.157175695800781, 'z': 9.5001921875};(8.7430988, 48.0751257, 721683)
2025/04/27_15:41:18;{'x': 0.8212111694335937, 'y': 2.1811177124023438, 'z': 9.481038574218749};(8.743097299999999, 48.075126, 721516)
2025/04/27_15:41:19;{'x': 0.70868369140625, 'y': 2.3822306518554686, 'z': 9.4618849609375};(8.7430942, 48.0751206, 721328)
2025/04/27_15:41:20;{'x': 0.8906430175781249, 'y': 2.0973206542968748, 'z': 9.363722692871093};(8.7431004, 48.0751219, 721325)
2025/04/27_15:41:21;{'x': 0.5985504150390625, 'y': 2.882618798828125, 'z': 9.641450085449218};(8.7431036, 48.0751243, 721202)
2025/04/27_15:41:22;{'x': 1.177947216796875, 'y': 2.070984436035156, 'z': 9.5001921875};(8.743113, 48.075126, 721071)
2025/04/27_15:41:42;{'x': 0.8499415893554687, 'y': 2.166752502441406, 'z': 9.536105212402344};(8.7431365, 48.075151999999996, 723469)
2025/04/27_15:41:43;{'x': 0.9097966308593749, 'y': 2.1691467041015624, 'z': 9.512163195800781};(8.7431365, 48.075151999999996, 723469)
2025/04/27_15:41:44;{'x': 0.7398083129882812, 'y': 2.138022082519531, 'z': 9.533711010742186};(8.7431433, 48.0751515, 723387)
2025/04/27_15:41:45;{'x': 0.7996633544921875, 'y': 2.003946789550781, 'z': 9.466673364257812};(8.7431433, 48.0751515, 723387)
2025/04/27_15:41:46;{'x': 0.7972691528320313, 'y': 2.0973206542968748, 'z': 9.617508068847656};(8.7431434, 48.0751522, 723416)
2025/04/27_15:41:47;{'x': 0.74699091796875, 'y': 2.1595698974609374, 'z': 9.6151138671875};(8.743160099999999, 48.0751529, 723523)
2025/04/27_15:41:48;{'x': 0.7757213378906249, 'y': 2.1404162841796874, 'z': 9.617508068847656};(8.743160099999999, 48.0751529, 723523)
2025/04/27_15:41:49;{'x': 0.9074024291992187, 'y': 2.1547814941406247, 'z': 9.572018237304688};(8.743160099999999, 48.0751529, 723523)
2025/04/27_15:41:50;{'x': 0.7805097412109374, 'y': 2.133233679199219, 'z': 9.548076220703125};(8.743160099999999, 48.0751529, 723523)
2025/04/27_15:41:51;{'x': 0.7302315063476562, 'y': 2.1978771240234374, 'z': 9.540893615722656};(8.743206899999999, 48.0751619, 724145)
2025/04/27_15:41:52;{'x': 0.7900865478515624, 'y': 2.001552587890625, 'z': 9.610325463867188};(8.743206899999999, 48.0751619, 724145)
2025/04/27_15:41:53;{'x': 0.7445967163085937, 'y': 2.1787235107421874, 'z': 9.557653027343749};(8.7432354, 48.075171499999996, 725047)
2025/04/27_15:41:54;{'x': 0.7757213378906249, 'y': 2.094926452636719, 'z': 9.469067565917967};(8.7432354, 48.075171499999996, 725047)
2025/04/27_15:41:55;{'x': 0.7852981445312499, 'y': 2.142810485839844, 'z': 9.53131680908203};(8.7432354, 48.075171499999996, 725047)
2025/04/27_15:41:56;{'x': 0.7996633544921875, 'y': 2.205059729003906, 'z': 9.576806640625};(8.7432354, 48.075171499999996, 725047)
2025/04/27_15:41:57;{'x': 0.8906430175781249, 'y': 2.133233679199219, 'z': 9.593566052246093};(8.7432767, 48.075188, 725840)
2025/04/27_15:41:58;{'x': 0.9026140258789062, 'y': 2.0877438476562498, 'z': 9.543287817382812};(8.7432767, 48.075188, 725840)
2025/04/27_15:41:59;{'x': 0.699106884765625, 'y': 2.1404162841796874, 'z': 9.509768994140625};(8.7432907, 48.0751858, 726133)
2025/04/27_15:42:00;{'x': 0.8738836059570312, 'y': 2.147598889160156, 'z': 9.445125549316407};(8.7432907, 48.0751858, 726133)
2025/04/27_15:42:01;{'x': 0.8068459594726562, 'y': 2.114080065917969, 'z': 9.466673364257812};(8.7432907, 48.0751858, 726133)
2025/04/27_15:42:02;{'x': 0.9074024291992187, 'y': 2.133233679199219, 'z': 9.521740002441407};(8.7432957, 48.075189599999995, 726453)
2025/04/27_15:42:03;{'x': 0.8188169677734375, 'y': 2.1212626708984375, 'z': 9.560047229003906};(8.743304, 48.075194599999996, 726825)
2025/04/27_15:42:04;{'x': 0.7613561279296874, 'y': 2.1260510742187497, 'z': 9.366116894531249};(8.7433339, 48.0751905, 726835)
2025/04/27_15:42:05;{'x': 0.7781155395507812, 'y': 2.185906115722656, 'z': 9.356540087890625};(8.7433339, 48.0751905, 726835)
2025/04/27_15:42:06;{'x': 0.9121908325195311, 'y': 2.1404162841796874, 'z': 9.562441430664062};(8.7433135, 48.075181699999995, 726066)
2025/04/27_15:42:07;{'x': 0.7326257080078125, 'y': 2.138022082519531, 'z': 9.490615380859374};(8.7433135, 48.075181699999995, 726066)
2025/04/27_15:42:08;{'x': 0.7398083129882812, 'y': 2.1308394775390624, 'z': 9.373299499511718};(8.7433135, 48.075181699999995, 726066)
2025/04/27_15:42:09;{'x': 0.7613561279296874, 'y': 2.142810485839844, 'z': 9.636661682128906};(8.7433135, 48.075181699999995, 726066)
2025/04/27_15:42:10;{'x': 0.7541735229492187, 'y': 2.1260510742187497, 'z': 9.5384994140625};(8.7433135, 48.075181699999995, 726066)
2025/04/27_15:42:11;{'x': 0.8212111694335937, 'y': 2.051830822753906, 'z': 9.617508068847656};(8.7433015, 48.07519, 726902)
2025/04/27_15:42:12;{'x': 0.7613561279296874, 'y': 2.185906115722656, 'z': 9.497797985839844};(8.7433062, 48.0751911, 727115)
2025/04/27_15:42:13;{'x': 0.7972691528320313, 'y': 2.1021090576171875, 'z': 9.356540087890625};(8.7433062, 48.0751911, 727115)
2025/04/27_15:42:14;{'x': 0.7829039428710937, 'y': 2.147598889160156, 'z': 9.512163195800781};(8.7433062, 48.0751911, 727115)
2025/04/27_15:42:15;{'x': 0.7278373046875, 'y': 2.001552587890625, 'z': 9.469067565917967};(8.7433062, 48.0751911, 727115)
2025/04/27_15:42:16;{'x': 0.7613561279296874, 'y': 2.090138049316406, 'z': 9.409212524414063};(8.7433081, 48.0751944, 727551)
2025/04/27_15:42:17;{'x': 0.737414111328125, 'y': 2.1643583007812497, 'z': 9.459490759277344};(8.7433081, 48.0751944, 727551)
2025/04/27_15:42:18;{'x': 0.74699091796875, 'y': 2.1260510742187497, 'z': 9.521740002441407};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:19;{'x': 0.7350199096679687, 'y': 2.2577321655273437, 'z': 9.576806640625};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:20;{'x': 0.7996633544921875, 'y': 2.1356278808593747, 'z': 9.588777648925781};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:21;{'x': 0.7876923461914062, 'y': 2.1906945190429687, 'z': 9.457096557617186};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:22;{'x': 0.7876923461914062, 'y': 2.288856787109375, 'z': 9.528922607421874};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:23;{'x': 0.737414111328125, 'y': 2.128445275878906, 'z': 9.512163195800781};(8.743324699999999, 48.0751968, 727812)
2025/04/27_15:42:24;{'x': 0.814028564453125, 'y': 2.123656872558594, 'z': 9.564835632324218};(8.7433522, 48.0752032, 728568)
2025/04/27_15:42:25;{'x': 0.7900865478515624, 'y': 2.1116858642578125, 'z': 9.4618849609375};(8.743375, 48.075210999999996, 729192)
2025/04/27_15:42:26;{'x': 0.9026140258789062, 'y': 2.123656872558594, 'z': 9.488221179199218};(8.743375, 48.075210999999996, 729192)
2025/04/27_15:42:27;{'x': 0.70868369140625, 'y': 2.0159177978515626, 'z': 9.516951599121093};(8.743375, 48.075210999999996, 729192)
2025/04/27_15:42:28;{'x': 0.8092401611328125, 'y': 2.1499930908203124, 'z': 9.567229833984374};(8.743403899999999, 48.0752123, 729524)
2025/04/27_15:42:29;{'x': 0.8020575561523438, 'y': 2.1404162841796874, 'z': 9.651026892089844};(8.743403899999999, 48.0752123, 729524)
2025/04/27_15:42:30;{'x': 0.814028564453125, 'y': 2.094926452636719, 'z': 9.516951599121093};(8.743403899999999, 48.0752123, 729524)
2025/04/27_15:42:31;{'x': 0.7565677246093749, 'y': 2.1619640991210938, 'z': 9.495403784179686};(8.743403899999999, 48.0752123, 729524)
2025/04/27_15:42:32;{'x': 0.82360537109375, 'y': 2.118868469238281, 'z': 9.392453112792968};(8.7434218, 48.0752117, 730000)
2025/04/27_15:42:33;{'x': 0.7661445312499999, 'y': 1.9919757812499999, 'z': 9.533711010742186};(8.7434218, 48.0752117, 730000)
2025/04/27_15:42:34;{'x': 0.814028564453125, 'y': 2.099714855957031, 'z': 9.5001921875};(8.7434218, 48.0752117, 730000)
2025/04/27_15:42:35;{'x': 0.7876923461914062, 'y': 2.0757728393554684, 'z': 9.497797985839844};(8.743404, 48.0752118, 730591)
2025/04/27_15:42:36;{'x': 0.7876923461914062, 'y': 2.118868469238281, 'z': 9.598354455566406};(8.743404, 48.0752118, 730591)
2025/04/27_15:42:37;{'x': 0.8092401611328125, 'y': 2.2673089721679687, 'z': 9.495403784179686};(8.743404, 48.0752118, 730591)
2025/04/27_15:42:38;{'x': 0.7541735229492187, 'y': 2.1212626708984375, 'z': 9.504980590820312};(8.7433932, 48.075213299999994, 731278)
2025/04/27_15:42:39;{'x': 0.7757213378906249, 'y': 2.0661960327148434, 'z': 9.5001921875};(8.7433932, 48.075213299999994, 731278)
2025/04/27_15:42:40;{'x': 0.7302315063476562, 'y': 2.281674182128906, 'z': 9.449913952636718};(8.743327299999999, 48.075199999999995, 731316)
2025/04/27_15:42:41;{'x': 0.7805097412109374, 'y': 2.123656872558594, 'z': 9.550470422363281};(8.743327299999999, 48.075199999999995, 731316)
2025/04/27_15:42:42;{'x': 0.7709329345703124, 'y': 2.090138049316406, 'z': 9.639055883789062};(8.7433158, 48.0751993, 732665)
2025/04/27_15:42:43;{'x': 0.7158662963867187, 'y': 2.152387292480469, 'z': 9.572018237304688};(8.7433031, 48.0752033, 733813)
2025/04/27_15:42:44;{'x': 0.6272808349609375, 'y': 2.138022082519531, 'z': 9.485826977539062};(8.7433031, 48.0752033, 733813)
2025/04/27_15:42:45;{'x': 0.7637503295898437, 'y': 2.1404162841796874, 'z': 9.5001921875};(8.7433031, 48.0752033, 733813)
2025/04/27_15:42:46;{'x': 0.8283937744140625, 'y': 2.152387292480469, 'z': 9.478644372558593};(8.7433177, 48.0752053, 734520)
2025/04/27_15:42:47;{'x': 0.7206546997070312, 'y': 2.142810485839844, 'z': 9.481038574218749};(8.7433177, 48.0752053, 734520)
2025/04/27_15:42:48;{'x': 0.7230489013671875, 'y': 2.1164742675781247, 'z': 9.435548742675781};(8.7433177, 48.0752053, 734520)
2025/04/27_15:42:49;{'x': 0.8930372192382812, 'y': 1.9943699829101562, 'z': 9.516951599121093};(8.7433177, 48.0752053, 734520)
2025/04/27_15:42:50;{'x': 0.8092401611328125, 'y': 2.272097375488281, 'z': 9.483432775878907};(8.7433177, 48.0752053, 734520)
2025/04/27_15:42:51;{'x': 0.6200982299804687, 'y': 2.1068974609374997, 'z': 9.562441430664062};(8.7433386, 48.075210399999996, 735659)
2025/04/27_15:42:52;{'x': 0.737414111328125, 'y': 2.142810485839844, 'z': 9.495403784179686};(8.743334299999999, 48.075213, 736315)
2025/04/27_15:42:53;{'x': 0.7254431030273437, 'y': 2.1595698974609374, 'z': 9.423577734375};(8.743334299999999, 48.075213, 736315)
2025/04/27_15:42:54;{'x': 0.8690952026367187, 'y': 2.2002713256835937, 'z': 9.521740002441407};(8.743334299999999, 48.075213, 736315)
2025/04/27_15:42:55;{'x': 0.7637503295898437, 'y': 2.094926452636719, 'z': 9.605537060546874};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:42:56;{'x': 0.7613561279296874, 'y': 2.104503259277344, 'z': 9.495403784179686};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:42:57;{'x': 0.8044517578125, 'y': 2.1835119140624997, 'z': 9.53131680908203};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:42:58;{'x': 0.7685387329101562, 'y': 2.109291662597656, 'z': 9.524134204101562};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:42:59;{'x': 0.8212111694335937, 'y': 2.1308394775390624, 'z': 9.521740002441407};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:43:00;{'x': 0.7589619262695312, 'y': 2.070984436035156, 'z': 9.483432775878907};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:43:01;{'x': 0.9074024291992187, 'y': 2.1739351074218747, 'z': 9.449913952636718};(8.7433535, 48.075218199999995, 737246)
2025/04/27_15:43:02;{'x': 0.7541735229492187, 'y': 2.1068974609374997, 'z': 9.526528405761718};(8.743397, 48.0752263, 738221)
2025/04/27_15:43:03;{'x': 0.7781155395507812, 'y': 2.013523596191406, 'z': 9.485826977539062};(8.743397, 48.0752263, 738221)
2025/04/27_15:43:04;{'x': 0.814028564453125, 'y': 2.166752502441406, 'z': 9.567229833984374};(8.743397, 48.0752263, 738221)
2025/04/27_15:43:05;{'x': 0.74699091796875, 'y': 2.133233679199219, 'z': 9.560047229003906};(8.7434032, 48.075227299999995, 738456)
2025/04/27_15:43:06;{'x': 0.74699091796875, 'y': 2.118868469238281, 'z': 9.497797985839844};(8.7434166, 48.075233, 739030)
2025/04/27_15:43:07;{'x': 0.6248866333007812, 'y': 2.2960393920898436, 'z': 9.437942944335937};(8.7434022, 48.075236, 739464)
2025/04/27_15:43:08;{'x': 0.7709329345703124, 'y': 2.1068974609374997, 'z': 9.490615380859374};(8.7434022, 48.075236, 739464)
2025/04/27_15:43:09;{'x': 0.8954314208984374, 'y': 2.157175695800781, 'z': 9.457096557617186};(8.7434022, 48.075236, 739464)
2025/04/27_15:43:10;{'x': 0.7445967163085937, 'y': 2.1452046874999997, 'z': 9.485826977539062};(8.7433924, 48.0752356, 739484)
2025/04/27_15:43:11;{'x': 0.8403647827148437, 'y': 2.138022082519531, 'z': 9.536105212402344};(8.7433924, 48.0752356, 739484)
2025/04/27_15:43:12;{'x': 0.7637503295898437, 'y': 2.1787235107421874, 'z': 9.45470235595703};(8.7433924, 48.0752356, 739484)
2025/04/27_15:43:13;{'x': 0.7972691528320313, 'y': 2.142810485839844, 'z': 9.507374792480467};(8.743418, 48.075237699999995, 739331)
2025/04/27_15:43:14;{'x': 0.7637503295898437, 'y': 2.128445275878906, 'z': 9.540893615722656};(8.743418, 48.075237699999995, 739331)
2025/04/27_15:43:15;{'x': 0.70868369140625, 'y': 2.157175695800781, 'z': 9.433154541015625};(8.743418, 48.075237699999995, 739331)
2025/04/27_15:43:16;{'x': 0.7757213378906249, 'y': 2.1595698974609374, 'z': 9.524134204101562};(8.743418, 48.075237699999995, 739331)
2025/04/27_15:43:17;{'x': 0.8044517578125, 'y': 2.1356278808593747, 'z': 9.555258825683593};(8.743383099999999, 48.075227399999996, 738829)
2025/04/27_15:43:18;{'x': 0.7565677246093749, 'y': 2.1260510742187497, 'z': 9.485826977539062};(8.743383099999999, 48.075227399999996, 738829)
2025/04/27_15:43:19;{'x': 0.8020575561523438, 'y': 2.1212626708984375, 'z': 9.53131680908203};(8.7433819, 48.0752258, 738783)
2025/04/27_15:43:20;{'x': 0.699106884765625, 'y': 2.001552587890625, 'z': 9.516951599121093};(8.7433819, 48.0752258, 738783)
2025/04/27_15:43:21;{'x': 0.7733271362304687, 'y': 2.1212626708984375, 'z': 9.720458740234374};(8.7433819, 48.0752258, 738783)
2025/04/27_15:43:22;{'x': 0.7637503295898437, 'y': 2.0973206542968748, 'z': 9.591171850585937};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:23;{'x': 0.9097966308593749, 'y': 2.104503259277344, 'z': 9.524134204101562};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:24;{'x': 0.7350199096679687, 'y': 2.1619640991210938, 'z': 9.433154541015625};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:25;{'x': 1.1563994018554686, 'y': 2.138022082519531, 'z': 9.593566052246093};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:26;{'x': 1.2234370483398436, 'y': 2.0278888061523435, 'z': 9.662997900390625};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:27;{'x': 1.254561669921875, 'y': 1.9656395629882812, 'z': 9.433154541015625};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:28;{'x': -1.8459294799804686, 'y': 2.6096798095703124, 'z': 12.928688964843749};(8.743377299999999, 48.075227399999996, 739049)
2025/04/27_15:43:29;{'x': 1.1755530151367186, 'y': 1.8698714965820311, 'z': 9.567229833984374};(8.7433833, 48.075229199999995, 739333)
2025/04/27_15:43:30;{'x': 0.8164227661132812, 'y': 2.1739351074218747, 'z': 9.567229833984374};(8.7433833, 48.075229199999995, 739333)
2025/04/27_15:43:43;{'x': 0.7278373046875, 'y': 2.176329309082031, 'z': 9.526528405761718};(8.7430895, 48.075076499999994, 723083)
2025/04/27_15:43:44;{'x': 0.7829039428710937, 'y': 2.128445275878906, 'z': 9.414000927734374};(8.743088799999999, 48.075074799999996, 722825)
2025/04/27_15:43:45;{'x': 0.7517793212890624, 'y': 2.1452046874999997, 'z': 9.473855969238281};(8.743088799999999, 48.075074799999996, 722825)
2025/04/27_15:43:58;{'x': 0.7350199096679687, 'y': 2.1906945190429687, 'z': 9.579200842285156};(8.7430722, 48.0750625, 718895)
2025/04/27_15:43:59;{'x': 0.7852981445312499, 'y': 2.104503259277344, 'z': 9.560047229003906};(8.7430722, 48.0750625, 718895)
2025/04/27_15:44:00;{'x': 0.7757213378906249, 'y': 2.023100402832031, 'z': 9.433154541015625};(8.743072399999999, 48.0750611, 718526)
2025/04/27_15:44:01;{'x': 0.7517793212890624, 'y': 2.1787235107421874, 'z': 9.504980590820312};(8.743072399999999, 48.0750611, 718526)
2025/04/27_15:44:02;{'x': 0.7278373046875, 'y': 2.1356278808593747, 'z': 9.442731347656249};(8.743072399999999, 48.0750611, 718526)
2025/04/27_15:44:03;{'x': 0.7254431030273437, 'y': 2.147598889160156, 'z': 9.437942944335937};(8.7430759, 48.0750635, 718319)
2025/04/27_15:44:04;{'x': 0.7350199096679687, 'y': 2.166752502441406, 'z': 9.624690673828125};(8.743073599999999, 48.075068099999996, 718401)
2025/04/27_15:44:19;{'x': 0.7254431030273437, 'y': 2.1691467041015624, 'z': 9.490615380859374};(8.7430693, 48.0751195, 720764)
2025/04/27_15:44:20;{'x': 0.7422025146484375, 'y': 2.1835119140624997, 'z': 9.449913952636718};(8.7430687, 48.0751238, 720924)
2025/04/27_15:44:21;{'x': 0.7302315063476562, 'y': 2.138022082519531, 'z': 9.5001921875};(8.7430687, 48.0751238, 720924)
2025/04/27_15:44:22;{'x': 0.737414111328125, 'y': 2.039859814453125, 'z': 9.428366137695312};(8.743064799999999, 48.0751286, 720984)
2025/04/27_15:44:23;{'x': 0.7709329345703124, 'y': 2.1739351074218747, 'z': 9.519345800781249};(8.743064799999999, 48.0751286, 720984)
2025/04/27_15:44:24;{'x': 0.7278373046875, 'y': 2.2194249389648437, 'z': 9.543287817382812};(8.743064799999999, 48.0751286, 720984)
2025/04/27_15:44:25;{'x': 0.7493851196289062, 'y': 2.157175695800781, 'z': 9.648632690429688};(8.7430627, 48.0751351, 721127)
2025/04/27_15:44:26;{'x': 0.6200982299804687, 'y': 2.1978771240234374, 'z': 9.485826977539062};(8.7430627, 48.0751351, 721127)
2025/04/27_15:44:27;{'x': 0.7996633544921875, 'y': 2.1452046874999997, 'z': 9.610325463867188};(8.7430568, 48.0751369, 721212)
2025/04/27_15:44:28;{'x': 0.7805097412109374, 'y': 2.231395947265625, 'z': 9.476250170898437};(8.7430568, 48.0751369, 721212)
2025/04/27_15:44:29;{'x': 0.7637503295898437, 'y': 2.1883003173828124, 'z': 9.483432775878907};(8.7430623, 48.0751431, 721370)
2025/04/27_15:44:30;{'x': 0.7589619262695312, 'y': 2.2074539306640624, 'z': 9.598354455566406};(8.7430623, 48.0751431, 721370)
2025/04/27_15:44:31;{'x': 0.7062894897460937, 'y': 2.1643583007812497, 'z': 9.490615380859374};(8.7430623, 48.0751431, 721370)
2025/04/27_15:44:32;{'x': 0.6919242797851562, 'y': 2.1547814941406247, 'z': 9.507374792480467};(8.7430623, 48.0751431, 721370)
2025/04/27_15:44:33;{'x': 0.7134720947265625, 'y': 2.224213342285156, 'z': 9.469067565917967};(8.743066599999999, 48.075136699999995, 721514)
2025/04/27_15:44:34;{'x': 0.7398083129882812, 'y': 1.9967641845703124, 'z': 9.435548742675781};(8.743066599999999, 48.075136699999995, 721514)
2025/04/27_15:44:35;{'x': 0.74699091796875, 'y': 2.1547814941406247, 'z': 9.550470422363281};(8.743066599999999, 48.075136699999995, 721514)
2025/04/27_15:44:36;{'x': 0.7661445312499999, 'y': 2.1260510742187497, 'z': 9.514557397460937};(8.743066599999999, 48.075136699999995, 721514)
2025/04/27_15:44:37;{'x': 0.737414111328125, 'y': 2.2768857788085937, 'z': 9.425971936035156};(8.743066599999999, 48.075136699999995, 721514)
2025/04/27_15:44:38;{'x': 0.718260498046875, 'y': 2.1116858642578125, 'z': 9.53131680908203};(8.7430862, 48.0751347, 721669)
2025/04/27_15:44:39;{'x': 0.689530078125, 'y': 2.1452046874999997, 'z': 9.473855969238281};(8.7430862, 48.0751347, 721669)
2025/04/27_15:44:40;{'x': 0.7637503295898437, 'y': 2.1595698974609374, 'z': 9.507374792480467};(8.7430862, 48.0751347, 721669)
2025/04/27_15:44:41;{'x': 0.7278373046875, 'y': 2.138022082519531, 'z': 9.521740002441407};(8.7430862, 48.0751347, 721669)
2025/04/27_15:44:42;{'x': 0.7493851196289062, 'y': 2.1978771240234374, 'z': 9.519345800781249};(8.7430785, 48.075132499999995, 721248)
2025/04/27_15:44:43;{'x': 0.7254431030273437, 'y': 2.1452046874999997, 'z': 9.495403784179686};(8.7430785, 48.075132499999995, 721248)
2025/04/27_15:44:44;{'x': 0.7398083129882812, 'y': 2.1883003173828124, 'z': 9.495403784179686};(8.7430785, 48.075132499999995, 721248)
2025/04/27_15:44:45;{'x': 0.7661445312499999, 'y': 2.221819140625, 'z': 9.404424121093749};(8.7430831, 48.075131299999995, 720783)
2025/04/27_15:44:46;{'x': 0.8068459594726562, 'y': 2.195482922363281, 'z': 9.497797985839844};(8.7430831, 48.075131299999995, 720783)
2025/04/27_15:44:47;{'x': 0.9145850341796874, 'y': 2.1619640991210938, 'z': 9.540893615722656};(8.7430831, 48.075131299999995, 720783)
2025/04/27_15:44:48;{'x': 0.7230489013671875, 'y': 2.1643583007812497, 'z': 9.595960253906249};(8.7430831, 48.075131299999995, 720783)
2025/04/27_15:44:49;{'x': 0.7589619262695312, 'y': 2.2170307373046874, 'z': 9.473855969238281};(8.7431, 48.0751384, 720938)
2025/04/27_15:45:02;{'x': 0.7541735229492187, 'y': 2.1547814941406247, 'z': 9.519345800781249};(8.742947899999999, 48.075200099999996, 715729)
2025/04/27_15:45:04;{'x': 0.7445967163085937, 'y': 2.133233679199219, 'z': 9.375693701171874};(8.742940899999999, 48.0752059, 715322)
2025/04/27_15:45:05;{'x': 0.6727706665039062, 'y': 2.2026655273437497, 'z': 9.56962403564453};(8.742936499999999, 48.075199999999995, 714781)
2025/04/27_15:45:06;{'x': 0.7445967163085937, 'y': 2.176329309082031, 'z': 9.639055883789062};(8.7429469, 48.075195099999995, 714780)
2025/04/27_15:45:07;{'x': 0.7302315063476562, 'y': 2.1811177124023438, 'z': 9.41639512939453};(8.7429468, 48.075199399999995, 714762)
2025/04/27_15:45:08;{'x': 0.7445967163085937, 'y': 2.176329309082031, 'z': 9.488221179199218};(8.7429468, 48.075199399999995, 714762)
2025/04/27_15:45:09;{'x': 0.7038952880859375, 'y': 2.195482922363281, 'z': 9.414000927734374};(8.742953199999999, 48.0751978, 714756)
2025/04/27_15:45:10;{'x': 0.7350199096679687, 'y': 2.147598889160156, 'z': 9.402029919433593};(8.742953199999999, 48.0751978, 714756)
2025/04/27_15:45:11;{'x': 0.6967126831054687, 'y': 2.109291662597656, 'z': 9.457096557617186};(8.7429611, 48.0751917, 714598)
2025/04/27_15:45:12;{'x': 0.7996633544921875, 'y': 2.1787235107421874, 'z': 9.425971936035156};(8.7429611, 48.0751917, 714598)
2025/04/27_15:45:13;{'x': 0.7565677246093749, 'y': 2.166752502441406, 'z': 9.399635717773437};(8.7429611, 48.0751917, 714598)
2025/04/27_15:45:14;{'x': 0.8044517578125, 'y': 2.104503259277344, 'z': 9.5384994140625};(8.7429764, 48.0751918, 714587)
2025/04/27_15:45:15;{'x': 0.6200982299804687, 'y': 2.1595698974609374, 'z': 9.567229833984374};(8.7429764, 48.0751918, 714587)
2025/04/27_15:45:16;{'x': 0.737414111328125, 'y': 2.1787235107421874, 'z': 9.476250170898437};(8.7429764, 48.0751918, 714587)
2025/04/27_15:45:17;{'x': 0.7422025146484375, 'y': 2.1308394775390624, 'z': 9.354145886230468};(8.7429764, 48.0751918, 714587)
2025/04/27_15:45:18;{'x': 0.9026140258789062, 'y': 1.9967641845703124, 'z': 9.473855969238281};(8.7429764, 48.0751918, 714587)
2025/04/27_15:45:19;{'x': 0.7733271362304687, 'y': 2.176329309082031, 'z': 9.435548742675781};(8.7429863, 48.0751892, 714332)
2025/04/27_15:45:20;{'x': 0.7805097412109374, 'y': 2.1595698974609374, 'z': 9.375693701171874};(8.7429863, 48.0751892, 714332)
2025/04/27_15:45:21;{'x': 0.7445967163085937, 'y': 2.109291662597656, 'z': 9.402029919433593};(8.742989, 48.0751791, 714328)
2025/04/27_15:45:22;{'x': 0.6871358764648438, 'y': 2.2026655273437497, 'z': 9.524134204101562};(8.742989, 48.0751791, 714328)
2025/04/27_15:45:23;{'x': 0.7876923461914062, 'y': 2.147598889160156, 'z': 9.514557397460937};(8.742989, 48.0751791, 714328)
2025/04/27_15:45:24;{'x': 0.7326257080078125, 'y': 2.1499930908203124, 'z': 9.471461767578125};(8.7429927, 48.0751765, 714462)
2025/04/27_15:45:25;{'x': 0.7158662963867187, 'y': 2.1978771240234374, 'z': 9.421183532714844};(8.7429927, 48.0751765, 714462)
2025/04/27_15:45:51;{'x': 0.7565677246093749, 'y': 2.1906945190429687, 'z': 9.514557397460937};(8.7430918, 48.0751962, 724531)
2025/04/27_15:45:51;{'x': 0.7326257080078125, 'y': 2.1906945190429687, 'z': 9.483432775878907};(8.7430947, 48.075196399999996, 724663)
2025/04/27_15:45:52;{'x': 0.7134720947265625, 'y': 2.185906115722656, 'z': 9.509768994140625};(8.743099299999999, 48.0751965, 724850)
2025/04/27_15:45:53;{'x': 0.7206546997070312, 'y': 2.0063409912109376, 'z': 9.459490759277344};(8.743103, 48.0751971, 724976)
2025/04/27_15:45:54;{'x': 0.7158662963867187, 'y': 2.1619640991210938, 'z': 9.4618849609375};(8.7431064, 48.0751989, 725217)
